Generated by data.opendatascotland.org,2014-02-20T14:00:18+00:00
http://data.opendatascotland.org/data/simd/housing-rank,"Scottish Index of Multiple Deprivation, Housing Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000149,Data Zone S01000149,453,453,453,453
http://statistics.data.gov.uk/id/statistical-geography/S01000150,Data Zone S01000150,1839,1839,1839,1839
http://statistics.data.gov.uk/id/statistical-geography/S01000151,Data Zone S01000151,1970,1970,1970,1970
http://statistics.data.gov.uk/id/statistical-geography/S01000152,Data Zone S01000152,3609,3609,3609,3609
http://statistics.data.gov.uk/id/statistical-geography/S01000153,Data Zone S01000153,694,694,694,694
http://statistics.data.gov.uk/id/statistical-geography/S01000154,Data Zone S01000154,1551,1551,1551,1551
http://statistics.data.gov.uk/id/statistical-geography/S01000155,Data Zone S01000155,1444,1444,1444,1444
http://statistics.data.gov.uk/id/statistical-geography/S01000156,Data Zone S01000156,439,439,439,439
http://statistics.data.gov.uk/id/statistical-geography/S01000157,Data Zone S01000157,2788,2788,2788,2788
http://statistics.data.gov.uk/id/statistical-geography/S01000158,Data Zone S01000158,2480,2480,2480,2480
http://statistics.data.gov.uk/id/statistical-geography/S01000159,Data Zone S01000159,6274,6274,6274,6274
http://statistics.data.gov.uk/id/statistical-geography/S01000160,Data Zone S01000160,1548,1548,1548,1548
http://statistics.data.gov.uk/id/statistical-geography/S01000161,Data Zone S01000161,1942,1942,1942,1942
http://statistics.data.gov.uk/id/statistical-geography/S01000162,Data Zone S01000162,2918,2918,2918,2918
http://statistics.data.gov.uk/id/statistical-geography/S01000163,Data Zone S01000163,1009,1009,1009,1009
http://statistics.data.gov.uk/id/statistical-geography/S01000164,Data Zone S01000164,992,992,992,992
http://statistics.data.gov.uk/id/statistical-geography/S01000165,Data Zone S01000165,1436,1436,1436,1436
http://statistics.data.gov.uk/id/statistical-geography/S01000166,Data Zone S01000166,660,660,660,660
http://statistics.data.gov.uk/id/statistical-geography/S01000167,Data Zone S01000167,2962,2962,2962,2962
http://statistics.data.gov.uk/id/statistical-geography/S01000168,Data Zone S01000168,1175,1175,1175,1175
http://statistics.data.gov.uk/id/statistical-geography/S01000169,Data Zone S01000169,4812,4812,4812,4812
http://statistics.data.gov.uk/id/statistical-geography/S01000170,Data Zone S01000170,981,981,981,981
http://statistics.data.gov.uk/id/statistical-geography/S01000171,Data Zone S01000171,6366,6366,6366,6366
http://statistics.data.gov.uk/id/statistical-geography/S01000172,Data Zone S01000172,2229,2229,2229,2229
http://statistics.data.gov.uk/id/statistical-geography/S01000173,Data Zone S01000173,2299,2299,2299,2299
http://statistics.data.gov.uk/id/statistical-geography/S01000174,Data Zone S01000174,6427,6427,6427,6427
http://statistics.data.gov.uk/id/statistical-geography/S01000175,Data Zone S01000175,990,990,990,990
http://statistics.data.gov.uk/id/statistical-geography/S01000176,Data Zone S01000176,708,708,708,708
http://statistics.data.gov.uk/id/statistical-geography/S01000177,Data Zone S01000177,4758,4758,4758,4758
http://statistics.data.gov.uk/id/statistical-geography/S01000178,Data Zone S01000178,1721,1721,1721,1721
http://statistics.data.gov.uk/id/statistical-geography/S01000179,Data Zone S01000179,1252,1252,1252,1252
http://statistics.data.gov.uk/id/statistical-geography/S01000180,Data Zone S01000180,1207,1207,1207,1207
http://statistics.data.gov.uk/id/statistical-geography/S01000181,Data Zone S01000181,856,856,856,856
http://statistics.data.gov.uk/id/statistical-geography/S01000182,Data Zone S01000182,1653,1653,1653,1653
http://statistics.data.gov.uk/id/statistical-geography/S01000183,Data Zone S01000183,756,756,756,756
http://statistics.data.gov.uk/id/statistical-geography/S01000184,Data Zone S01000184,4851,4851,4851,4851
http://statistics.data.gov.uk/id/statistical-geography/S01000185,Data Zone S01000185,1510,1510,1510,1510
http://statistics.data.gov.uk/id/statistical-geography/S01000186,Data Zone S01000186,3927,3927,3927,3927
http://statistics.data.gov.uk/id/statistical-geography/S01000187,Data Zone S01000187,1873,1873,1873,1873
http://statistics.data.gov.uk/id/statistical-geography/S01000188,Data Zone S01000188,927,927,927,927
http://statistics.data.gov.uk/id/statistical-geography/S01000189,Data Zone S01000189,948,948,948,948
http://statistics.data.gov.uk/id/statistical-geography/S01000190,Data Zone S01000190,2076,2076,2076,2076
http://statistics.data.gov.uk/id/statistical-geography/S01000191,Data Zone S01000191,3389,3389,3389,3389
http://statistics.data.gov.uk/id/statistical-geography/S01000192,Data Zone S01000192,788,788,788,788
http://statistics.data.gov.uk/id/statistical-geography/S01000193,Data Zone S01000193,1159,1159,1159,1159
http://statistics.data.gov.uk/id/statistical-geography/S01000194,Data Zone S01000194,1367,1367,1367,1367
http://statistics.data.gov.uk/id/statistical-geography/S01000195,Data Zone S01000195,1654,1654,1654,1654
http://statistics.data.gov.uk/id/statistical-geography/S01000196,Data Zone S01000196,1917,1917,1917,1917
http://statistics.data.gov.uk/id/statistical-geography/S01000197,Data Zone S01000197,1108,1108,1108,1108
http://statistics.data.gov.uk/id/statistical-geography/S01000198,Data Zone S01000198,1594,1594,1594,1594
http://statistics.data.gov.uk/id/statistical-geography/S01000199,Data Zone S01000199,1511,1511,1511,1511
http://statistics.data.gov.uk/id/statistical-geography/S01000200,Data Zone S01000200,1553,1553,1553,1553
http://statistics.data.gov.uk/id/statistical-geography/S01000201,Data Zone S01000201,1768,1768,1768,1768
http://statistics.data.gov.uk/id/statistical-geography/S01000202,Data Zone S01000202,2003,2003,2003,2003
http://statistics.data.gov.uk/id/statistical-geography/S01000203,Data Zone S01000203,1545,1545,1545,1545
http://statistics.data.gov.uk/id/statistical-geography/S01000204,Data Zone S01000204,1890,1890,1890,1890
http://statistics.data.gov.uk/id/statistical-geography/S01000205,Data Zone S01000205,762,762,762,762
http://statistics.data.gov.uk/id/statistical-geography/S01000206,Data Zone S01000206,3628,3628,3628,3628
http://statistics.data.gov.uk/id/statistical-geography/S01000207,Data Zone S01000207,1804,1804,1804,1804
http://statistics.data.gov.uk/id/statistical-geography/S01000208,Data Zone S01000208,1609,1609,1609,1609
http://statistics.data.gov.uk/id/statistical-geography/S01000209,Data Zone S01000209,1584,1584,1584,1584
http://statistics.data.gov.uk/id/statistical-geography/S01000210,Data Zone S01000210,712,712,712,712
