"S01000354","71","S12000034"
"S01000355","71","S12000034"
"S01000356","71","S12000034"
"S01000357","71","S12000034"
"S01000358","71","S12000034"
"S01000359","71","S12000034"
"S01000360","71","S12000034"
"S01000361","71","S12000034"
"S01000362","46","S12000034"
"S01000363","71","S12000034"
"S01000364","71","S12000034"
"S01000365","46","S12000034"
"S01000366","46","S12000034"
"S01000367","46","S12000034"
"S01000368","71","S12000034"
"S01000369","46","S12000034"
"S01000370","46","S12000034"
"S01000371","71","S12000034"
"S01000372","71","S12000034"
"S01000373","71","S12000034"
"S01000374","71","S12000034"
"S01000375","71","S12000034"
"S01000376","71","S12000034"
"S01000377","71","S12000034"
"S01000378","71","S12000034"
"S01000379","46","S12000034"
"S01000380","46","S12000034"
"S01000381","46","S12000034"
"S01000382","71","S12000034"
"S01000383","46","S12000034"
"S01000384","71","S12000034"
"S01000385","46","S12000034"
"S01000386","46","S12000034"
"S01000387","46","S12000034"
"S01000388","46","S12000034"
"S01000389","46","S12000034"
"S01000390","46","S12000034"
"S01000391","46","S12000034"
"S01000392","46","S12000034"
"S01000393","46","S12000034"
"S01000394","46","S12000034"
"S01000395","71","S12000034"
"S01000396","46","S12000034"
"S01000397","46","S12000034"
"S01000398","46","S12000034"
"S01000399","46","S12000034"
"S01000400","46","S12000034"
"S01000401","71","S12000034"
"S01000402","46","S12000034"
"S01000403","46","S12000034"
"S01000404","46","S12000034"
"S01000405","46","S12000034"
"S01000406","46","S12000034"
"S01000407","46","S12000034"
"S01000408","46","S12000034"
"S01000409","46","S12000034"
"S01000410","46","S12000034"
"S01000411","46","S12000034"
"S01000412","46","S12000034"
"S01000413","46","S12000034"
"S01000414","46","S12000034"
"S01000415","46","S12000034"
"S01000416","46","S12000034"
"S01000417","46","S12000034"
"S01000418","46","S12000034"
"S01000419","46","S12000034"
"S01000420","46","S12000034"
"S01000421","46","S12000034"
"S01000422","46","S12000034"
"S01000423","46","S12000034"
"S01000424","46","S12000034"
"S01000425","46","S12000034"
"S01000426","46","S12000034"
"S01000427","46","S12000034"
"S01000428","46","S12000034"
"S01000429","46","S12000034"
"S01000430","46","S12000034"
"S01000431","46","S12000034"
"S01000432","46","S12000034"
"S01000433","46","S12000034"
"S01000434","46","S12000034"
"S01000435","46","S12000034"
"S01000436","46","S12000034"
"S01000437","46","S12000034"
"S01000438","46","S12000034"
"S01000439","46","S12000034"
"S01000440","46","S12000034"
"S01000441","46","S12000034"
"S01000442","46","S12000034"
"S01000443","46","S12000034"
"S01000444","46","S12000034"
"S01000445","8","S12000034"
"S01000446","8","S12000034"
"S01000447","46","S12000034"
"S01000448","46","S12000034"
"S01000449","8","S12000034"
"S01000450","8","S12000034"
"S01000451","46","S12000034"
"S01000452","46","S12000034"
"S01000453","46","S12000034"
"S01000454","46","S12000034"
"S01000455","8","S12000034"
"S01000456","46","S12000034"
"S01000457","46","S12000034"
"S01000458","8","S12000034"
"S01000459","46","S12000034"
"S01000460","46","S12000034"
"S01000461","46","S12000034"
"S01000462","46","S12000034"
"S01000463","8","S12000034"
"S01000464","46","S12000034"
"S01000465","46","S12000034"
"S01000466","46","S12000034"
"S01000467","8","S12000034"
"S01000468","46","S12000034"
"S01000469","8","S12000034"
"S01000470","8","S12000034"
"S01000471","8","S12000034"
"S01000472","8","S12000034"
"S01000473","8","S12000034"
"S01000474","46","S12000034"
"S01000475","8","S12000034"
"S01000476","8","S12000034"
"S01000477","8","S12000034"
"S01000478","8","S12000034"
"S01000479","8","S12000034"
"S01000480","8","S12000034"
"S01000481","8","S12000034"
"S01000482","8","S12000034"
"S01000483","8","S12000034"
"S01000484","8","S12000034"
"S01000485","8","S12000034"
"S01000486","8","S12000034"
"S01000487","8","S12000034"
"S01000488","8","S12000034"
"S01000489","8","S12000034"
"S01000490","8","S12000034"
"S01000491","8","S12000034"
"S01000492","8","S12000034"
"S01000493","8","S12000034"
"S01000494","8","S12000034"
"S01000495","8","S12000034"
"S01000496","8","S12000034"
"S01000497","8","S12000034"
"S01000498","8","S12000034"
"S01000499","8","S12000034"
"S01000500","8","S12000034"
"S01000501","8","S12000034"
"S01000502","8","S12000034"
"S01000503","8","S12000034"
"S01000504","46","S12000034"
"S01000505","8","S12000034"
"S01000506","46","S12000034"
"S01000507","46","S12000034"
"S01000508","46","S12000034"
"S01000509","46","S12000034"
"S01000510","46","S12000034"
"S01000511","8","S12000034"
"S01000512","46","S12000034"
"S01000513","8","S12000034"
"S01000514","46","S12000034"
"S01000515","8","S12000034"
"S01000516","8","S12000034"
"S01000517","46","S12000034"
"S01000518","8","S12000034"
"S01000519","8","S12000034"
"S01000520","8","S12000034"
"S01000521","8","S12000034"
"S01000522","8","S12000034"
"S01000523","8","S12000034"
"S01000524","8","S12000034"
"S01000525","8","S12000034"
"S01000526","8","S12000034"
"S01000527","8","S12000034"
"S01000528","8","S12000034"
"S01000529","8","S12000034"
"S01000530","8","S12000034"
"S01000531","8","S12000034"
"S01000532","8","S12000034"
"S01000533","8","S12000034"
"S01000534","8","S12000034"
"S01000535","8","S12000034"
"S01000536","8","S12000034"
"S01000537","8","S12000034"
"S01000538","8","S12000034"
"S01000539","8","S12000034"
"S01000540","8","S12000034"
"S01000541","8","S12000034"
"S01000542","8","S12000034"
"S01000543","8","S12000034"
"S01000544","8","S12000034"
"S01000545","8","S12000034"
"S01000546","8","S12000034"
"S01000547","8","S12000034"
"S01000548","8","S12000034"
"S01000549","8","S12000034"
"S01000550","8","S12000034"
"S01000551","8","S12000034"
"S01000552","8","S12000034"
