Generated by data.opendatascotland.org,2014-02-20T14:00:02+00:00
http://data.opendatascotland.org/data/simd/geographic-access-rank,"Scottish Index of Multiple Deprivation, Geographic Access Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000130,Data Zone S01000130,5916,5532,4918,5479
http://statistics.data.gov.uk/id/statistical-geography/S01000131,Data Zone S01000131,6112,5531,5505,4334
http://statistics.data.gov.uk/id/statistical-geography/S01000132,Data Zone S01000132,5976,6202,5937,5548
http://statistics.data.gov.uk/id/statistical-geography/S01000133,Data Zone S01000133,3864,3388,3480,3209
http://statistics.data.gov.uk/id/statistical-geography/S01000134,Data Zone S01000134,4350,4700,4737,4816
http://statistics.data.gov.uk/id/statistical-geography/S01000135,Data Zone S01000135,6033,6340,6142,6353
http://statistics.data.gov.uk/id/statistical-geography/S01000136,Data Zone S01000136,4780,6210,6309,6398
http://statistics.data.gov.uk/id/statistical-geography/S01000137,Data Zone S01000137,6232,6289,5975,6134
http://statistics.data.gov.uk/id/statistical-geography/S01000138,Data Zone S01000138,6364,5892,5466,5593
http://statistics.data.gov.uk/id/statistical-geography/S01000139,Data Zone S01000139,4464,3841,4539,4386
http://statistics.data.gov.uk/id/statistical-geography/S01000140,Data Zone S01000140,1242,2054,1803,1587
http://statistics.data.gov.uk/id/statistical-geography/S01000141,Data Zone S01000141,4562,4169,4237,4071
http://statistics.data.gov.uk/id/statistical-geography/S01000142,Data Zone S01000142,4760,5332,5127,5494
http://statistics.data.gov.uk/id/statistical-geography/S01000143,Data Zone S01000143,1915,2582,2469,2594
http://statistics.data.gov.uk/id/statistical-geography/S01000144,Data Zone S01000144,6436,5536,5084,5640
http://statistics.data.gov.uk/id/statistical-geography/S01000145,Data Zone S01000145,2122,2702,2291,2330
http://statistics.data.gov.uk/id/statistical-geography/S01000146,Data Zone S01000146,6149,6088,6191,6302
http://statistics.data.gov.uk/id/statistical-geography/S01000147,Data Zone S01000147,6055,5563,5312,6051
http://statistics.data.gov.uk/id/statistical-geography/S01000148,Data Zone S01000148,4215,5713,5755,5979
http://statistics.data.gov.uk/id/statistical-geography/S01000149,Data Zone S01000149,6140,5944,5905,6257
http://statistics.data.gov.uk/id/statistical-geography/S01000150,Data Zone S01000150,5473,5897,5940,6317
http://statistics.data.gov.uk/id/statistical-geography/S01000151,Data Zone S01000151,4035,4024,4561,3607
http://statistics.data.gov.uk/id/statistical-geography/S01000152,Data Zone S01000152,5933,5533,5178,5095
http://statistics.data.gov.uk/id/statistical-geography/S01000153,Data Zone S01000153,5582,4382,4214,4365
http://statistics.data.gov.uk/id/statistical-geography/S01000154,Data Zone S01000154,3541,3662,3631,4087
http://statistics.data.gov.uk/id/statistical-geography/S01000155,Data Zone S01000155,5372,5672,5716,6251
http://statistics.data.gov.uk/id/statistical-geography/S01000156,Data Zone S01000156,5765,5478,5345,5522
http://statistics.data.gov.uk/id/statistical-geography/S01000157,Data Zone S01000157,4117,3886,4532,3576
http://statistics.data.gov.uk/id/statistical-geography/S01000158,Data Zone S01000158,3932,3187,4305,3879
http://statistics.data.gov.uk/id/statistical-geography/S01000159,Data Zone S01000159,2064,2764,3132,2927
http://statistics.data.gov.uk/id/statistical-geography/S01000160,Data Zone S01000160,5083,5110,5056,5218
