area,2006,2009,2012
S01002049,3959,5064,3769
S01002050,1598,2077,2734
S01002051,1034,522,1008
S01002052,5411,3108,3720
S01002053,4406,1364,4285
S01002054,5400,4719,5164
S01002055,3726,5017,5193
S01002056,3678,4543,4820
S01002057,4216,4230,2785
S01002058,1455,2619,2542
S01002059,1426,2698,1000
S01002060,4441,3288,2889
S01002061,1946,878,1935
S01002062,2722,1152,2863
S01002063,1521,1413,1587
S01002064,3382,2116,2808
S01002065,2278,1887,2936
S01002066,125,43,281
S01002067,3036,2935,3147
S01002068,2411,2404,2071
S01002069,3679,2716,3520
S01002070,939,2209,3141
S01002071,2481,1984,1602
S01002072,2811,3534,4085
S01002073,2701,3830,1546
S01002074,6250,4151,4840
S01002075,4519,1753,3038
S01002076,558,74,303
S01002077,4890,3254,5104
S01002078,2310,4187,1836
S01002079,1707,2028,2343
S01002080,2735,2325,2253
S01002081,4481,2297,2156
S01002082,4373,4809,5130
S01002083,4096,4970,4947
S01002084,315,1068,926
S01002085,2548,1882,3174
S01002086,1270,698,209
S01002087,830,235,370
S01002088,2151,2812,4392
S01002089,4149,3573,5476
S01002090,4955,3462,4014
S01002091,444,729,973
S01002092,3537,4482,3579
S01002093,772,737,1027
S01002094,3110,1680,2975
S01002095,6231,5751,4593
S01002096,2810,2561,3965
S01002097,3426,3634,4756
S01002098,3491,3795,3516
S01002099,3461,2090,3370
S01002100,2946,2097,3497
S01002101,1021,523,1157
S01002102,3511,226,495
S01002103,5138,1486,4065
S01002104,1594,2169,1870
S01002105,6085,4671,3837
S01002106,52,18,32
S01002107,3699,1829,2050
S01002108,88,25,39
S01002109,9,21,52
S01002110,3545,3344,3679
S01002111,3498,3531,4396
S01002112,1835,2873,4214
S01002113,3670,3401,5173
S01002114,4380,3973,4434
S01002115,3961,2983,1848
S01002116,1437,1225,3234
S01002117,461,312,875
S01002118,164,49,92
S01002119,4727,3279,4116
S01002120,3329,1892,2257
S01002121,4720,3736,3247
S01002122,5513,3999,4405
S01002123,5331,5697,5500
S01002124,3704,3233,4638
S01002125,2724,2803,2964
S01002126,4240,5676,6310
S01002127,1920,1757,2332
S01002128,43,47,53
S01002129,331,454,1119
S01002130,4865,3696,4701
S01002131,4,3,7
S01002132,4374,3600,4207
S01002133,4188,3333,3449
S01002134,2080,4129,3596
S01002135,5374,4613,4196
S01002136,4788,4276,5115
S01002137,4313,3434,3869
S01002138,2051,912,3176
S01002139,4716,5974,4426
S01002140,3338,2342,1949
S01002141,1918,1982,516
S01002142,3337,4065,3692
S01002143,1153,444,1343
S01002144,5625,4681,3779
S01002145,3775,3705,3974
S01002146,4328,2120,5128
S01002147,2482,1106,1846
S01002148,4763,3274,4994
S01002149,1299,1097,942
S01002150,2830,1854,3842
S01002151,3437,2924,3943
S01002152,6038,4910,2956
S01002153,4139,2804,4213
S01002154,2627,1200,3423
S01002155,2178,508,1764
S01002156,403,316,116
S01002157,4697,4060,4545
S01002158,5405,4247,4694
S01002159,1373,618,2500
S01002160,2749,1604,2563
S01002161,14,5,8
S01002162,1372,2584,4040
S01002163,1150,511,1667
S01002164,2729,2088,1282
S01002165,3097,3832,4585
S01002166,5399,4382,4423
S01002167,2399,2499,3684
S01002168,4258,3786,3586
S01002169,5940,4854,5766
S01002170,5147,4409,2494
S01002171,4532,3863,4368
S01002172,5120,4262,5757
S01002173,5205,3494,3056
S01002174,2852,3061,4543
S01002175,4410,2411,2832
S01002176,4515,4648,2628
S01002177,4986,4179,5608
S01002178,6182,4976,4337
S01002179,6354,5684,4858
S01002180,2801,2902,2252
S01002181,2449,1580,2219
S01002182,4808,5369,3949
S01002183,981,876,1254
S01002184,3239,2084,2669
S01002185,1239,2234,1947
S01002186,4901,4624,5270
S01002187,5453,4849,4469
S01002188,4893,3536,4378
S01002189,3835,2785,2493
S01002190,1432,2614,1238
S01002191,2717,1042,780
S01002192,3298,2556,3122
S01002193,4907,3312,4373
S01002194,5043,3403,3269
S01002195,5299,3231,4647
S01002196,3758,5508,4084
S01002197,2488,3488,1854
S01002198,4001,3323,3981
S01002199,3451,4320,2696
S01002200,6041,5166,5743
S01002201,4665,3293,4581
S01002202,446,1277,1537
S01002203,3559,5465,5359
S01002204,1716,1299,1389
S01002205,2955,3212,3971
S01002206,1501,765,849
S01002207,3558,2781,3389
S01002208,3611,2592,4418
S01002209,2084,1613,1446
S01002210,2905,4797,3992
S01002211,958,405,275
S01002212,3531,2976,1633
S01002213,2935,3278,2356
S01002214,4894,3952,3697
S01002215,1877,918,1810
S01002216,2167,808,1430
S01002217,2360,670,1057
S01002218,3526,2399,2790
S01002219,4130,4461,4127
S01002220,5914,5828,6199
S01002221,3582,1661,2478
S01002222,2551,1971,1331
S01002223,4079,2446,2926
S01002224,5265,6147,4295
S01002225,1374,1566,1325
S01002226,5077,5262,3862
S01002227,1217,718,878
S01002228,4167,3958,4575
S01002229,6220,5079,4682
S01002230,3653,3007,2763
S01002231,4721,3415,4294
S01002232,719,1182,405
S01002233,2860,2625,988
S01002234,3731,2433,2981
S01002235,3156,1600,2760
S01002236,2952,1802,781
S01002237,3496,2011,1879
S01002238,2494,1378,1424
S01002239,1033,1033,515
S01002240,2404,2910,2428
S01002241,3343,1384,1198
S01002242,4396,3327,3121
S01002243,640,284,1297
S01002244,3355,3292,4235
S01002245,2665,2771,2903
S01002246,1320,1893,1332
S01002247,2569,1212,1438
S01002248,3837,3366,4576
S01002249,4436,3088,2473
S01002250,3616,5044,4326
S01002251,6283,5441,6294
S01002252,2989,1348,2348
S01002253,1323,2880,1554
S01002254,1411,2573,2675
S01002255,3951,3396,2465
S01002256,4899,3781,4654
S01002257,1242,1602,2180
S01002258,1905,2684,2173
S01002259,5438,3963,4484
S01002260,6166,6292,5396
S01002261,4731,3984,3701
S01002262,5563,2509,2043
S01002263,4393,4072,3755
S01002264,2400,3602,2499
S01002265,1135,1079,679
S01002266,160,443,554
S01002267,1623,3242,510
S01002268,4335,3703,3781
S01002269,3387,3843,5087
S01002270,349,533,351
S01002271,4696,2884,4955
S01002272,5391,3595,3276
S01002273,373,903,1630
S01002274,1890,2246,2296
S01002275,1074,1113,831
S01002276,6300,6418,5081
S01002277,579,564,378
S01002278,692,720,200
S01002279,112,659,299
S01002280,4786,5734,5468
S01002281,795,1223,711
S01002282,56,63,21
S01002283,3459,2068,4938
S01002284,936,1961,1975
S01002285,252,110,579
S01002286,1818,1771,2435
S01002287,2382,2504,4273
S01002288,1678,1905,2382
S01002289,966,1473,786
S01002290,452,663,364
S01002291,382,888,151
S01002292,731,1004,2457
S01002293,1788,2482,995
S01002294,1866,1886,3173
S01002295,5514,5053,5347
S01002296,141,142,4864
S01002297,1518,2721,2746
S01002298,1847,2889,2606
S01002299,4432,3621,1730
S01002300,3002,2493,6076
S01002301,778,2310,1442
S01002302,560,2996,559
S01002303,969,1974,1481
S01002304,1471,2491,1208
S01002305,396,1029,919
S01002306,447,156,864
S01002307,1485,1866,2013
S01002308,2529,2936,3660
S01002309,4069,4764,2175
S01002310,595,326,852
S01002311,4090,5640,4139
S01002312,592,277,321
S01002313,1549,2764,2797
S01002314,2419,2329,2963
S01002315,3846,1741,3956
S01002316,3501,5489,4824
S01002317,705,819,1026
S01002318,1197,471,686
S01002319,1669,1091,1905
S01002320,3302,5385,3740
S01002321,978,535,595
S01002322,2663,2991,3760
S01002323,2742,1697,2277
S01002324,1879,684,273
S01002325,130,537,949
S01002326,3122,2957,1542
S01002327,3696,3915,3420
S01002328,5010,4825,5795
S01002329,6282,5714,5993
S01002330,3469,4168,4360
S01002331,3690,2000,4517
S01002332,4259,4459,5069
S01002333,5994,4802,5516
S01002334,3693,2811,3785
S01002335,1083,953,564
S01002336,4670,5400,5013
S01002337,5500,5046,6006
S01002338,1468,2274,1708
S01002339,4660,5449,4842
S01002340,6242,4949,4798
S01002341,6192,5371,6487
S01002342,5169,4369,3457
S01002343,6493,6283,5274
S01002344,4177,3704,2631
S01002345,3456,3371,1832
S01002346,5660,4947,5728
S01002347,5903,5730,4663
S01002348,6056,6128,6463
S01002349,6113,4917,4969
S01002350,5592,5203,3549
S01002351,6407,5344,6403
S01002352,3095,6411,4852
S01002353,4476,5523,5573
S01002354,5778,5128,4372
S01002355,924,2841,2288
S01002356,347,32,71
S01002357,770,5452,4609
S01002358,5289,5608,4301
S01002359,1561,3070,1252
S01002360,2007,2724,1110
S01002361,4402,2945,3290
S01002362,6417,5601,6137
S01002363,5292,2923,4718
S01002364,1187,927,904
S01002365,6493,5159,6487
S01002366,6493,3097,6428
S01002367,5687,5852,6128
S01002368,6241,5838,4738
S01002369,6048,3741,6487
S01002370,4936,4054,3638
S01002371,4797,6393,6487
S01002372,4049,5544,4803
S01002373,5851,5471,5436
S01002374,6421,5925,6429
S01002375,4189,4744,1020
S01002376,4339,1127,3566
S01002377,2939,2081,2462
S01002378,5337,4375,4606
S01002379,2373,1358,2540
S01002380,4083,3483,3377
S01002381,2593,3213,1977
S01002382,2408,1062,1886
S01002383,5508,4697,5299
S01002384,2249,3126,4005
S01002385,4841,3647,2490
S01002386,3588,4132,5365
S01002387,5174,4460,5483
S01002388,4980,5931,5665
S01002389,5860,4885,6018
S01002390,4391,4930,5140
S01002391,5850,5942,5669
S01002392,975,2315,3274
S01002393,4192,5468,5055
S01002394,4350,4322,3658
S01002395,5544,4924,5137
S01002396,4459,3184,1557
S01002397,1984,1383,4032
S01002398,5452,5482,5776
S01002399,3913,3805,3193
S01002400,6084,4775,5762
S01002401,6470,5747,6343
S01002402,1999,1405,1898
S01002403,2630,2530,1951
S01002404,5361,4365,4400
S01002405,6393,5650,4945
S01002406,2981,3049,2695
S01002407,4599,3355,3812
S01002408,4640,5039,4441
S01002409,3143,4225,4110
S01002410,5975,5485,4639
S01002411,5223,5784,5226
S01002412,4405,4821,5409
S01002413,5290,5984,4880
S01002414,1315,1992,2427
S01002415,4021,3378,3304
S01002416,1301,1506,1597
S01002417,4613,4335,5310
S01002418,2879,3132,2498
S01002419,5197,6325,4018
S01002420,4235,4215,2704
S01002421,5820,4837,5597
S01002422,6034,4303,5047
S01002423,4709,3289,4810
S01002424,5643,4311,3713
S01002425,3950,4526,3955
S01002426,4918,2836,2251
S01002427,4382,5948,4607
S01002428,5270,3349,1116
S01002429,6398,6071,2872
S01002430,1183,3057,1866
S01002431,4693,3643,3185
S01002432,5749,6329,5528
S01002433,1065,3429,4453
S01002434,2034,3053,2301
S01002435,1718,2344,2147
S01002436,3560,3681,2721
S01002437,96,93,117
S01002438,2025,2441,1603
S01002439,4282,3850,2786
S01002440,2149,2374,2372
S01002441,3848,4146,3564
S01002442,34,15,13
S01002443,5154,4241,4160
S01002444,222,1451,868
S01002445,2455,2643,2646
S01002446,2326,173,373
S01002447,4324,2939,3651
S01002448,881,2680,1899
S01002449,6057,4120,5747
S01002450,710,1123,330
S01002451,1088,3435,3421
S01002452,1881,1687,2112
S01002453,2555,3614,3308
S01002454,3578,3557,1447
S01002455,3960,3249,4310
S01002456,805,1393,1717
S01002457,5298,3518,3127
S01002458,2561,2469,1009
S01002459,202,158,72
S01002460,631,2663,2595
S01002461,6315,6113,5941
S01002462,300,75,239
S01002463,1757,715,1787
S01002464,2503,2477,3330
S01002465,6162,5592,4551
S01002466,2074,4351,3286
S01002467,2667,4339,1235
S01002468,986,1076,1333
S01002469,1591,3994,1877
S01002470,3825,5218,3901
S01002471,2091,2885,1613
S01002472,600,386,858
S01002473,1235,909,585
S01002474,1696,1615,632
S01002475,2134,1550,1336
S01002476,4081,1876,3012
S01002477,423,3694,3543
S01002478,3397,4503,4079
S01002479,688,869,1588
S01002480,3331,3544,4970
S01002481,4686,2965,3676
S01002482,996,649,1078
S01002483,484,594,1291
S01002484,914,2306,1177
S01002485,3508,4829,5175
S01002486,973,2588,1172
S01002487,4703,4301,4483
S01002488,1740,1207,1302
S01002489,3399,2117,1641
S01002490,3136,3880,3568
S01002491,3365,2474,5111
S01002492,2422,3113,3855
S01002493,3254,3594,3477
S01002494,5075,4468,6100
S01002495,3844,6185,3853
S01002496,2383,2187,3534
S01002497,2750,1669,1596
S01002498,5447,5765,6105
S01002499,2042,984,1295
S01002500,927,411,574
S01002501,1593,2988,4866
S01002502,829,1628,1808
S01002503,268,971,628
S01002504,2873,4091,2908
S01002505,1093,1479,1367
S01002506,4607,5031,3881
S01002507,4227,3438,4702
S01002508,6024,4490,4978
S01002509,3275,5107,3875
S01002510,5362,4596,4805
S01002511,5051,4499,4031
S01002512,248,583,309
S01002513,5173,5095,6287
S01002514,2030,883,1933
S01002515,3040,3901,2106
S01002516,3219,5084,3800
S01002517,3308,1639,4298
S01002518,3214,3080,2684
S01002519,353,296,819
S01002520,131,215,538
S01002521,1563,1233,1142
S01002522,4294,3558,3463
S01002523,4843,6394,5770
S01002524,4684,5561,3210
S01002525,3520,1439,620
S01002526,3434,6035,6393
S01002527,6150,4324,5356
S01002528,3373,4371,3957
S01002529,1050,685,836
S01002530,1685,1328,1435
S01002531,4110,4577,3258
S01002532,3921,2175,2017
S01002533,1122,776,1019
S01002534,2938,2023,2992
S01002535,1612,1686,2170
S01002536,2231,1206,1395
S01002537,3240,1814,2029
S01002538,5793,5822,5697
S01002539,979,1421,602
S01002540,215,395,256
S01002541,5461,4481,3413
S01002542,4013,3688,2756
S01002543,459,131,110
S01002544,3854,4401,3733
S01002545,814,1170,2342
S01002546,4180,2378,2171
S01002547,3114,2162,2596
S01002548,4553,3241,3315
S01002549,5789,4862,6389
S01002550,4333,5735,6192
S01002551,5494,5094,3253
S01002552,5210,4265,4133
S01002553,3018,1320,1827
S01002554,4052,5374,5897
S01002555,2901,4162,3200
S01002556,3535,2201,1964
S01002557,3665,4488,4269
S01002558,4631,3400,5050
S01002559,5449,4897,4605
S01002560,3106,3669,4809
S01002561,4010,3087,2705
S01002562,4825,5041,4278
S01002563,4042,3611,2443
S01002564,6248,4167,4371
S01002565,6414,5728,5499
S01002566,5347,6176,6163
S01002567,6167,6154,5159
S01002568,5129,4152,3460
S01002569,3246,3337,3941
S01002570,4844,4051,5020
S01002571,3760,3134,2855
S01002572,3849,3719,2735
S01002573,4922,6194,6030
S01002574,2485,1770,3115
S01002575,1761,2318,1956
S01002576,4915,5909,5311
S01002577,1154,1612,1035
S01002578,6335,6330,6058
S01002579,6101,5123,6007
S01002580,1230,1112,812
S01002581,6363,6472,6278
S01002582,1909,3572,3067
S01002583,2963,2438,3786
S01002584,1777,3437,3462
S01002585,2476,3503,2201
S01002586,5699,4443,4822
S01002587,4872,5330,4754
S01002588,5745,5791,6190
S01002589,6493,6226,5958
S01002590,3931,4662,6344
S01002591,4106,3858,4879
S01002592,1633,1232,970
S01002593,1539,2102,2567
S01002594,5115,3852,5037
S01002595,2412,4895,3129
S01002596,3850,4442,5773
S01002597,3242,4559,3911
S01002598,2115,1064,1968
S01002599,2659,2375,2775
S01002600,4523,5657,6013
S01002601,740,1163,1824
S01002602,5878,5310,5992
S01002603,1516,3100,1540
S01002604,4103,5135,5497
S01002605,1711,2200,3653
S01002606,4550,3695,5273
S01002607,2688,3418,4325
S01002608,4250,2640,4153
S01002609,823,2134,3287
S01002610,3150,3766,4621
S01002611,5266,5173,4071
S01002612,5087,5763,5845
S01002613,5110,4851,5557
S01002614,1797,4592,3187
S01002615,4191,3875,2603
S01002616,6035,6127,6408
S01002617,2700,2814,1852
S01002618,2730,1592,1844
S01002619,2692,3887,5368
S01002620,1844,1690,2212
S01002621,4470,6036,6275
S01002622,5107,5364,5493
S01002623,6314,6343,6355
S01002624,5204,5294,6437
S01002625,5072,4368,4587
S01002626,1995,2577,3317
S01002627,6430,6477,5923
S01002628,5958,6256,5693
S01002629,603,2185,2985
S01002630,3235,2328,3215
S01002631,5965,5388,6184
S01002632,4767,5316,4681
S01002633,4356,3519,5329
S01002634,4929,4983,5919
S01002635,4556,4905,5623
S01002636,4026,2891,5136
S01002637,3724,2853,4028
S01002638,482,3370,2939
S01002639,5393,3644,4033
S01002640,3801,4383,3465
S01002641,4849,5530,5481
S01002642,2463,3436,5008
S01002643,660,946,1187
S01002644,5159,5412,5871
S01002645,2812,2041,1165
S01002646,4285,4749,2928
S01002647,1987,3724,3073
S01002648,2625,2027,2522
S01002649,1293,866,1205
S01002650,5255,6457,5006
S01002651,2023,2688,1856
S01002652,4184,4240,4744
S01002653,1475,3604,2748
S01002654,3277,3082,4004
S01002655,232,568,755
S01002656,457,783,1371
S01002657,3597,3980,4078
S01002658,230,636,567
S01002659,2637,3862,4241
S01002660,620,1211,1751
S01002661,1939,3504,3635
S01002662,3080,2579,3152
S01002663,1930,2605,2162
S01002664,6154,5841,6149
S01002665,5297,5975,5195
S01002666,3943,4757,5685
S01002667,1720,882,647
S01002668,727,2703,4776
S01002669,2355,3361,3859
S01002670,4737,4811,4892
S01002671,51,51,50
S01002672,338,1053,908
S01002673,64,477,531
S01002674,2751,3313,2799
S01002675,4585,5510,5668
S01002676,1146,1835,3217
S01002677,193,1391,395
S01002678,2521,3141,5257
S01002679,3433,3309,2403
S01002680,3186,2733,3939
S01002681,5238,5623,4907
S01002682,757,1436,372
S01002683,2254,4342,5073
S01002684,1977,4447,1840
S01002685,441,1365,1023
S01002686,1886,2755,5255
S01002687,4687,5900,5967
S01002688,6058,6493,5834
S01002689,2786,6047,5123
S01002690,4713,5863,5023
S01002691,5149,4698,3197
S01002692,2575,5413,4763
S01002693,4806,6384,5893
S01002694,2941,4385,3354
S01002695,4245,2970,5056
S01002696,4429,3275,4437
S01002697,2805,5722,5742
S01002698,4546,4172,4092
S01002699,1260,4616,4836
S01002700,439,1837,2618
S01002701,5094,5708,4727
S01002702,1113,1872,2073
S01002703,3715,4940,2048
S01002704,3317,4967,2722
S01002705,1143,1663,2302
S01002706,1085,1087,1171
S01002707,2822,3637,3584
S01002708,3550,4793,3371
S01002709,665,902,998
S01002710,5539,4843,5294
S01002711,1606,3613,2144
S01002712,4453,5224,3973
S01002713,987,2447,1366
S01002714,777,991,1058
S01002715,1699,2828,2776
S01002716,4644,3579,4660
S01002717,2614,3040,3391
S01002718,959,2333,1477
S01002719,5342,4001,5338
S01002720,5343,4823,4930
S01002721,376,928,399
S01002722,12,19,30
S01002723,1982,2585,2441
S01002724,1547,2019,2952
S01002725,4959,4880,4276
S01002726,2610,2009,4571
S01002727,5206,5140,5628
S01002728,286,1009,619
S01002729,4418,5907,6043
S01002730,684,1066,1401
S01002731,3109,2616,2283
S01002732,857,1390,2305
S01002733,3183,3552,4837
S01002734,2322,2507,2841
S01002735,3477,3245,5034
S01002736,5281,5332,6210
S01002737,1841,2140,2244
S01002738,3091,1588,3254
S01002739,3336,4696,4946
S01002740,6493,5717,6212
S01002741,1552,2723,1738
S01002742,2220,2962,1908
S01002743,478,787,2110
S01002744,925,2417,3473
S01002745,1756,3056,2014
S01002746,2965,2414,2652
S01002747,1283,1484,2425
S01002748,345,646,948
S01002749,992,1129,1196
S01002750,2116,2642,981
S01002751,339,800,982
S01002752,2133,4741,3557
S01002753,4457,5115,3996
S01002754,433,2055,4343
S01002755,246,248,342
S01002756,624,1701,986
S01002757,3414,5347,4710
S01002758,377,552,634
S01002759,132,420,617
S01002760,2049,1428,1526
S01002761,788,972,1392
S01002762,394,495,493
S01002763,2158,2407,2547
S01002764,661,1001,1958
S01002765,60,719,450
S01002766,1738,2137,1356
S01002767,3648,5058,3352
S01002768,2999,3471,4577
S01002769,2433,2622,5167
S01002770,3708,1996,2249
S01002771,1405,2016,1970
S01002772,5641,4492,3476
S01002773,923,1817,2897
S01002774,657,1039,1647
S01002775,361,683,1475
S01002776,2076,3352,3747
S01002777,3554,3809,3519
S01002778,643,370,606
S01002779,244,206,533
S01002780,473,2202,963
S01002781,1028,1888,4111
S01002782,416,1791,3005
S01002783,2112,1177,4017
S01002784,3449,2972,3320
S01002785,599,3336,2565
S01002786,5247,5422,6459
S01002787,3740,3425,3257
S01002788,2514,5118,3454
S01002789,4107,5915,6028
S01002790,1422,1557,1152
S01002791,1353,2293,2409
S01002792,2385,3335,2286
S01002793,658,935,1031
S01002794,1133,3599,4641
S01002795,4917,6367,5673
S01002796,1746,3024,3455
S01002797,2961,2448,5554
S01002798,2413,1706,2330
S01002799,1331,460,2153
S01002800,5306,6241,6487
S01002801,2405,2434,2395
S01002802,5536,5690,5822
S01002803,1367,3651,3753
S01002804,574,1335,1213
S01002805,3078,1806,1350
S01002806,2779,4980,5465
S01002807,1899,2015,4267
S01002808,2312,2276,1296
S01002809,374,686,1043
S01002810,3289,2353,3673
S01002811,3148,2343,4634
S01002812,4646,5009,3607
S01002813,597,352,1791
S01002814,336,1165,921
S01002815,825,852,1544
S01002816,933,3006,2518
S01002817,1029,1374,1601
S01002818,2714,1659,1952
S01002819,1346,1369,1147
S01002820,1947,1936,1922
S01002821,1461,786,614
S01002822,1412,1140,2058
S01002823,398,333,322
S01002824,2580,2989,2615
S01002825,67,182,190
S01002826,1714,3290,1719
S01002827,718,210,2325
S01002828,3297,3811,2183
S01002829,451,1894,1323
S01002830,1199,717,1112
S01002831,3115,817,4215
S01002832,4244,2877,3351
S01002833,6219,5830,6204
S01002834,752,1756,2485
S01002835,1465,1693,2284
S01002836,4503,2516,3890
S01002837,3266,2129,1619
S01002838,549,502,172
S01002839,985,2141,762
S01002840,2854,1826,4384
S01002841,781,1575,2505
S01002842,312,291,233
S01002843,445,343,227
S01002844,4122,2796,2955
S01002845,487,887,359
S01002846,3132,5376,5888
S01002847,3380,5284,5486
S01002848,1978,4085,3503
S01002849,4141,2544,2466
S01002850,1429,603,472
S01002851,4475,3089,6247
S01002852,174,492,484
S01002853,637,514,167
S01002854,953,1898,1572
S01002855,712,157,426
S01002856,159,135,164
S01002857,4753,5110,5014
S01002858,2646,2869,4875
S01002859,466,366,1579
S01002860,1931,1422,2209
S01002861,1533,2548,2164
S01002862,756,416,1443
S01002863,3568,2655,2654
S01002864,526,458,469
S01002865,3573,3117,4435
S01002866,630,632,517
S01002867,2447,3823,5201
S01002868,1213,1026,1660
S01002869,485,261,943
S01002870,2647,3745,3940
S01002871,2948,4373,2528
S01002872,1072,1779,2135
S01002873,1973,1743,3148
S01002874,292,1031,1258
S01002875,145,155,1746
S01002876,456,623,393
S01002877,236,848,697
S01002878,2933,1156,3582
S01002879,2856,1370,3559
S01002880,5355,4953,5461
S01002881,197,263,312
S01002882,111,132,203
S01002883,3116,4377,3972
S01002884,1057,1775,2168
S01002885,5505,4979,3233
S01002886,3683,2644,1340
S01002887,2652,1845,1454
S01002888,5733,5437,5774
S01002889,835,570,895
S01002890,101,457,967
S01002891,612,1171,2191
S01002892,3396,4647,3403
S01002893,20,90,155
S01002894,2629,780,1219
S01002895,841,567,660
S01002896,1952,889,2383
S01002897,1441,1900,1432
S01002898,5736,5582,5942
S01002899,6493,5811,6253
S01002900,1359,2161,1724
S01002901,2870,1959,1781
S01002902,2440,5217,4599
S01002903,1651,478,717
S01002904,4617,4767,5385
S01002905,889,354,1649
S01002906,1654,706,1609
S01002907,1558,3796,2723
S01002908,3074,6028,5898
S01002909,983,1178,860
S01002910,1940,3659,2868
S01002911,2292,3763,2341
S01002912,3549,4140,5487
S01002913,4176,5232,4765
S01002914,318,242,1625
S01002915,1840,1394,2267
S01002916,3081,1423,887
S01002917,4551,5761,4897
S01002918,3388,5556,2240
S01002919,611,913,825
S01002920,4668,3297,3065
S01002921,3206,5902,5555
S01002922,1026,771,129
S01002923,1052,2852,2486
S01002924,5371,4891,5610
S01002925,2406,3201,3359
S01002926,566,788,3703
S01002927,3210,1509,3275
S01002928,5911,5431,5569
S01002929,1960,2621,1489
S01002930,4935,5426,5680
S01002931,1434,3257,2582
S01002932,4820,5610,6337
S01002933,2391,2694,3683
S01002934,1965,2157,3636
S01002935,952,1332,2647
S01002936,5743,6208,4874
S01002937,2352,4769,4498
S01002938,481,223,1923
S01002939,5386,4014,5813
S01002940,3967,3660,4995
S01002941,3139,4115,4550
S01002942,4308,5063,5849
S01002943,5901,4370,4983
S01002944,2103,2258,2517
S01002945,3534,2641,4687
S01002946,4321,5298,5223
S01002947,2709,2692,4171
S01002948,5765,5536,5074
S01002949,5064,6356,5304
S01002950,5328,3501,4657
S01002951,3342,4274,5454
S01002952,5222,4978,5163
S01002953,4354,4530,4482
S01002954,3481,5027,4902
S01002955,2520,2747,3527
S01002956,3224,3063,3644
S01002957,3822,5670,4959
S01002958,6377,5691,6158
S01002959,5121,6222,5638
S01002960,5540,4807,4582
S01002961,2819,1964,2833
S01002962,1968,2536,5276
S01002963,4685,3482,4513
S01002964,6175,4353,4703
S01002965,4695,4252,3097
S01002966,1618,3412,4274
S01002967,5311,6012,6180
S01002968,6269,5585,5734
S01002969,6014,5068,6467
S01002970,5630,6198,5386
S01002971,3453,4361,4169
S01002972,817,565,1024
S01002973,1764,3101,1678
S01002974,2008,4485,4488
S01002975,97,270,746
S01002976,807,2211,929
S01002977,2156,1830,3157
S01002978,3030,3556,4307
S01002979,5175,4147,4689
S01002980,4434,3836,5559
S01002981,6174,6493,6452
S01002982,6295,6459,6487
S01002983,5108,3627,4069
S01002984,3104,3526,5650
S01002985,6493,5846,6101
S01002986,4267,2789,2938
S01002987,2623,4555,4586
S01002988,4981,5435,6440
S01002989,2100,2191,3951
S01002990,5105,4579,4613
S01002991,6249,6413,6303
S01002992,3603,3679,3335
S01002993,4002,5753,3594
S01002994,2152,2118,3191
S01002995,1131,3246,1421
S01002996,2767,5111,5615
S01002997,1574,4024,3921
S01002998,5261,4182,5397
S01002999,1792,1995,1753
S01003000,6165,5519,6487
S01003001,5844,2986,5415
S01003002,2502,1797,3178
S01003003,6344,5274,6266
S01003004,5800,4374,5297
S01003005,5987,6268,6106
S01003006,5146,6079,5800
S01003007,4784,6255,4869
S01003008,5203,6218,5616
S01003009,2556,4521,3019
S01003010,5395,4000,6096
S01003011,6323,5540,6299
S01003012,6069,5844,6165
S01003013,1735,2834,3657
S01003014,3539,4754,5778
S01003015,5228,4245,3064
S01003016,5134,4722,6048
S01003017,3880,2578,4542
S01003018,3893,1665,5305
S01003019,2132,3143,3411
S01003020,2655,3870,2885
S01003021,4575,2817,3382
S01003022,2445,3073,4952
S01003023,5277,5193,6061
S01003024,3920,3301,3987
S01003025,4070,3208,4491
S01003026,2302,750,1378
S01003027,4645,5606,5408
S01003028,2715,1485,508
S01003029,2583,1293,1126
S01003030,3978,3478,2512
S01003031,1884,6493,6487
S01003032,513,1159,2027
S01003033,3721,2008,1230
S01003034,4558,4776,3201
S01003035,210,561,1606
S01003036,3296,1380,1150
S01003037,3615,4728,3759
S01003038,5684,5226,4828
S01003039,1139,1885,2049
S01003040,3134,3530,2877
S01003041,5020,3969,3979
S01003042,1540,1002,527
S01003043,407,344,134
S01003044,106,271,259
S01003045,1269,1179,1193
S01003046,2582,1357,1423
S01003047,1348,1247,1355
S01003048,2607,1261,3310
S01003049,2212,2105,1661
S01003050,4288,4212,6161
S01003051,1415,2435,2680
S01003052,639,1257,1253
S01003053,3733,2385,3863
S01003054,824,575,936
S01003055,1123,1850,1231
S01003056,589,985,737
S01003057,2336,2240,2141
S01003058,538,1689,1989
S01003059,5437,4925,5700
S01003060,2183,2713,1966
S01003061,5799,3617,5178
S01003062,698,1158,1701
S01003063,3902,2860,1102
S01003064,375,311,404
S01003065,4165,3639,2285
S01003066,6018,5354,5371
S01003067,753,1667,1239
S01003068,2624,3280,5868
S01003069,4681,4107,2822
S01003070,4983,4022,3362
S01003071,4771,5025,4492
S01003072,2298,2348,2329
S01003073,4368,2148,2999
S01003074,4140,4893,4179
S01003075,3135,974,520
S01003076,1555,314,111
S01003077,1929,2281,2384
S01003078,4874,5538,4460
S01003079,3856,3065,2039
S01003080,2304,2892,3349
S01003081,4072,4679,6024
