area,2006,2009,2012
S01000492,2176,1124,1594
S01000493,3869,4336,3934
S01000494,2532,820,2495
S01000495,4435,5737,5306
S01000496,5480,6297,6401
S01000497,5148,5768,4757
S01000498,6493,5579,6178
S01000499,1073,2390,3017
S01000500,2733,3563,2819
S01000501,2634,3961,4554
S01000502,2415,4601,2421
S01000503,6061,5389,1448
S01000504,1667,1341,1143
S01000505,5503,5885,5596
S01000506,6457,6461,6160
S01000507,4357,3149,2842
S01000508,6023,6082,4008
S01000509,6141,5963,6371
S01000510,3642,3196,3952
S01000511,5835,5876,6392
S01000512,5827,5792,3977
S01000513,4233,3142,681
S01000514,5869,5683,5544
S01000515,2744,3264,2818
S01000516,5230,5597,4473
S01000517,5056,5724,3873
S01000518,4390,4538,3762
S01000519,5012,4724,6401
S01000520,5557,4705,3086
S01000521,1406,3177,3632
S01000522,5063,5785,6255
S01000523,4389,1323,2248
S01000524,4969,4528,4977
S01000525,5817,5141,4714
S01000526,5511,3911,3988
S01000527,4127,5302,6206
S01000528,4789,6377,5316
S01000529,5628,4958,1548
S01000530,5375,5045,3426
S01000531,5834,5420,5682
S01000532,711,1851,1404
S01000533,4676,3957,4920
S01000534,2559,2832,2745
S01000535,5900,3567,3481
S01000536,6066,5070,4679
S01000537,3993,4737,5363
S01000538,5323,5267,5354
S01000539,904,855,280
S01000540,4020,3554,1530
S01000541,2461,1505,2129
S01000542,2889,3169,3138
S01000543,3894,5381,4511
S01000544,5126,4200,3396
S01000545,1582,2567,3498
S01000546,3024,3908,3072
S01000547,6364,5587,3919
S01000548,4290,4791,4440
S01000549,3631,4408,4339
S01000550,6334,6284,5546
S01000551,1727,2668,3360
S01000552,6222,4337,2336
S01000553,5166,6098,3724
S01000554,4109,2674,3499
S01000555,3875,3176,3551
S01000556,2107,1768,3578
S01000557,4962,3569,4470
S01000558,4471,1568,1527
S01000559,1523,1145,1225
S01000560,1804,2546,1326
S01000561,1356,627,2351
S01000562,1327,1655,1394
S01000563,25,26,33
S01000564,85,337,416
S01000565,2828,1425,2188
S01000566,1674,1846,310
S01000567,1897,2322,1767
S01000568,2967,4143,1798
S01000569,6092,5662,3708
S01000570,3936,5285,4256
S01000571,2719,1739,1864
S01000572,5668,6468,5792
S01000573,5626,6493,6264
S01000574,5218,5156,5466
S01000575,6159,6493,5924
S01000576,6120,5894,6487
S01000577,5722,6349,6235
S01000578,6216,6454,6298
S01000579,5909,6474,6245
S01000580,6493,6378,6375
S01000581,5656,6309,6098
S01000582,4832,4250,5571
S01000583,6299,4990,5323
S01000584,2984,1598,2196
S01000585,3774,2968,2311
S01000586,5951,5106,5589
S01000587,2682,5970,3569
S01000588,3552,2750,4523
S01000589,4958,5029,5965
S01000590,1755,4537,3626
S01000591,4690,6333,6224
S01000592,2909,3737,2397
S01000593,1214,4017,3709
S01000594,3288,5243,5423
S01000595,6111,5966,6347
S01000596,6032,6157,5730
S01000597,6386,6249,6320
S01000598,5112,6239,5583
S01000599,5327,6120,5491
S01000600,6030,5443,6241
S01000601,4303,5398,4094
S01000602,4534,4553,5156
S01000603,5546,5910,6334
S01000604,6005,5954,4699
S01000605,3444,2142,2572
S01000606,696,635,1774
S01000607,5966,4509,3737
S01000608,1503,330,759
S01000609,1505,1871,997
S01000610,239,349,118
S01000611,2802,626,650
S01000612,789,473,466
S01000613,2871,734,2339
S01000614,4655,5296,3752
S01000615,2814,1630,1308
S01000616,5726,5749,5235
S01000617,6493,5318,6395
S01000618,6221,5367,5784
S01000619,5065,5456,6092
S01000620,853,545,354
S01000621,3184,2720,1069
S01000622,1514,1839,1878
S01000623,3601,2099,3663
S01000624,3519,2731,3378
S01000625,522,1453,807
S01000626,1709,1176,1684
S01000627,4952,3408,4353
S01000628,1913,1884,2216
S01000629,3130,2824,3937
S01000630,3180,1879,3189
S01000631,2917,1988,2088
S01000632,5543,5007,4795
S01000633,6410,5559,4221
S01000634,3874,2216,3179
S01000635,5462,3814,3631
S01000636,4445,5935,5411
S01000637,6118,6135,5973
S01000638,2410,2938,4338
S01000639,6405,4567,4324
S01000640,3395,5401,5969
S01000641,6201,6116,5458
S01000642,5773,5701,4487
S01000643,4197,5305,5489
S01000644,6285,5762,5112
S01000645,5764,5239,3913
S01000646,6179,6364,4667
S01000647,5858,5138,3501
S01000648,1104,1786,1032
S01000649,5899,4692,6417
S01000650,3952,3865,3948
S01000651,1885,1577,893
S01000652,5122,5162,4357
S01000653,1316,610,716
S01000654,929,2260,3078
S01000655,3069,1855,2706
S01000656,379,812,596
S01000657,3636,4105,4597
S01000658,142,187,325
S01000659,4395,5409,3554
S01000660,3614,4153,3831
S01000661,2887,3384,2861
S01000662,3630,3139,3975
S01000663,5624,5545,4467
S01000664,5439,3612,4961
S01000665,6336,5993,6410
S01000666,5780,5995,1729
S01000667,3408,2993,2787
S01000668,2350,1339,1980
S01000669,243,691,731
S01000670,3201,3985,5405
S01000671,3576,4501,5317
S01000672,4454,4796,4877
S01000673,6121,5377,6164
S01000674,2306,4003,3780
S01000675,5537,6223,5825
S01000676,6239,4699,4142
S01000677,4742,3432,4972
S01000678,6039,4746,4512
S01000679,1853,619,1611
S01000680,1559,1340,1364
S01000681,1620,595,1083
S01000682,179,128,182
S01000683,3507,2111,2898
S01000684,3300,1075,3159
S01000685,5189,3443,4299
S01000686,2959,4446,2385
S01000687,4804,1726,2690
S01000688,3628,2583,2829
S01000689,6243,6453,6131
S01000690,5611,5242,4270
S01000691,4144,3104,3537
S01000692,762,867,1016
S01000693,1546,609,467
S01000694,3227,5327,3991
S01000695,3182,3517,2026
S01000696,1493,688,1066
S01000697,5757,5953,4939
S01000698,1595,1570,990
S01000699,3280,613,2278
S01000700,2788,4865,4958
S01000701,3800,3463,4374
S01000702,4332,5512,3782
S01000703,5245,5324,4801
S01000704,4973,5723,5011
S01000705,5572,5168,4833
S01000706,5083,6130,3494
S01000707,5923,6022,6113
S01000708,6304,5877,5636
S01000709,5697,5390,5440
S01000710,6198,5688,5619
S01000711,5654,5991,4884
